,popfraction_near_openspace_informal_narrowdef,popfraction_near_openspace_elderly_narrowdef,popfraction_near_openspace_all_narrowdef,popfraction_near_openspace_informal_expansivedef,popfraction_near_openspace_elderly_expansivedef,popfraction_near_openspace_all_expansivedef
BRA-Belem-ADM3,0.10808554996945333,0.15115358363159942,0.14555592767299996,0.338145346033991,0.5139578494107034,0.49372101829785203
BRA-Rio_de_Janerio-ADM2,0.12471469464375867,0.21939114321365805,0.2020856324607362,0.7157218251911088,1.0144277064330793,0.8602880211356764
CHN-Beijing-area,0.23693201925918578,0.5145654402199361,0.4886301007061473,0.34208340172459006,0.7132359506310277,0.6660464498610944
CHN-Shenzhen-city,0.23433882415228593,0.34131793354442064,0.25244895381671933,0.3225589576757916,0.5749742598489962,0.43442710735131007
COL-Bogota-ADM2,0.4202576174668,0.5612516668138148,0.5041811644675679,0.8061766555701351,0.9633855582479758,0.850729952276647
ETH-Addis_Ababa-ADM4,0.017378738115557502,0.1118067419124559,0.09781335891115532,0.10554369594102225,0.3132789395720912,0.28082071757360133
IND-Bangalore-city,0.10358461418022946,0.215939577662756,0.2140351212885362,0.4498771330080355,0.6767357859187594,0.6669268024283814
IND-Delhi-city,0.1846161090882023,0.4325040238086593,0.37748322114994887,0.36082084270218895,0.6674197541948333,0.5441202261370305
IND-Mumbai-city,0.171251453018566,0.28540761823397465,0.2670476484649934,0.6772017792903169,0.7600387193520634,0.6765226605718037
KEN-Nairobi-ADM3,0.10840867547177575,0.230969179810895,0.13811769791131287,0.3399504277025186,0.4599255481072197,0.3533479889817411
MEX-Guadalajara-metroarea-cities,0.12059223873009982,0.2763066850736305,0.2481232017467847,0.4780439893689694,0.6664835369620987,0.6482622140152514
MEX-Monterrey-ADM2,0.22779065507197266,0.4348804651689215,0.34096277846098494,0.6784797585356932,0.8608561582044366,0.8120171917818202
TUR-Istanbul-city-matchingADM6,0.21872413759501355,0.29567012295562467,0.2913149201769962,0.7890279999592058,0.8082471432387734,0.787305545268796
IDN-Jakarta-ADM4,0.10982878493939618,0.15713358963575935,0.13598559737608734,0.8931979918387254,0.9824553123157233,0.8324194457013846
